Epoch,Train_Loss,Vali_Loss,Test_Loss,Learning_Rate,Time
1,1.3165654,1.0079569,1.0840627,0.0000005705,2025-10-13 16:27:14
2,1.2872350,1.1695017,1.0709247,0.0000010701,2025-10-13 16:27:37
3,1.2902218,1.1160874,1.0569612,0.0000018631,2025-10-13 16:27:58
4,1.2854019,1.0126735,1.0528609,0.0000028932,2025-10-13 16:28:18
5,1.2918028,0.9929780,1.0516004,0.0000040873,2025-10-13 16:28:39
6,1.2071290,1.0480349,1.0291496,0.0000053604,2025-10-13 16:29:00
7,1.1946108,0.9187140,1.0024329,0.0000066221,2025-10-13 16:29:21
8,1.1455502,0.8963826,0.9603276,0.0000077828,2025-10-13 16:29:42
9,1.0668242,0.7211664,0.8884738,0.0000087599,2025-10-13 16:30:03
10,0.9471119,0.5692814,0.7616227,0.0000094841,2025-10-13 16:30:24
11,0.7640246,0.5621982,0.6133251,0.0000099038,2025-10-13 16:30:45
12,0.6108010,0.7280972,0.5193964,0.0000099993,2025-10-13 16:31:06
13,0.5169007,0.7972261,0.4766810,0.0000099833,2025-10-13 16:31:27
14,0.4279106,0.7068204,0.4580704,0.0000099459,2025-10-13 16:31:48
15,0.3678488,0.7077070,0.4461698,0.0000098873,2025-10-13 16:32:08
16,0.3186956,0.5077610,0.4416639,0.0000098078,2025-10-13 16:32:29
17,0.2600262,0.6187229,0.4237660,0.0000097077,2025-10-13 16:32:50
18,0.2264399,0.5374323,0.4249337,0.0000095875,2025-10-13 16:33:11
19,0.1851339,0.4636863,0.4226893,0.0000094476,2025-10-13 16:33:33
20,0.1760489,0.4801066,0.4149405,0.0000092886,2025-10-13 16:33:54
21,0.1646739,0.4776529,0.4050303,0.0000091113,2025-10-13 16:34:15
22,0.1497776,0.4325263,0.4022650,0.0000089164,2025-10-13 16:34:35
23,0.1396713,0.3932263,0.4018627,0.0000087048,2025-10-13 16:34:57
24,0.1312152,0.3762183,0.4006058,0.0000084772,2025-10-13 16:35:18
25,0.1187926,0.3668247,0.4024276,0.0000082348,2025-10-13 16:35:39
26,0.1151068,0.3808571,0.4014525,0.0000079785,2025-10-13 16:36:00
27,0.1075933,0.3340159,0.4037456,0.0000077095,2025-10-13 16:36:21
28,0.1072563,0.4132853,0.4035114,0.0000074288,2025-10-13 16:36:43
29,0.0995775,0.3745356,0.4047121,0.0000071378,2025-10-13 16:37:04
30,0.0957978,0.3546279,0.4045394,0.0000068376,2025-10-13 16:37:25
31,0.0929254,0.3816242,0.4030959,0.0000065295,2025-10-13 16:37:46
32,0.0866542,0.3618336,0.4044757,0.0000062149,2025-10-13 16:38:07
33,0.0843172,0.3496808,0.4057729,0.0000058951,2025-10-13 16:38:28
34,0.0794440,0.4015481,0.4075687,0.0000055715,2025-10-13 16:38:49
35,0.0778078,0.3106714,0.4086835,0.0000052454,2025-10-13 16:39:10
36,0.0755912,0.3187266,0.4109312,0.0000049182,2025-10-13 16:39:31
37,0.0703360,0.3911413,0.4126970,0.0000045914,2025-10-13 16:39:52
38,0.0684323,0.3649468,0.4128350,0.0000042664,2025-10-13 16:40:13
39,0.0682775,0.3720104,0.4136524,0.0000039445,2025-10-13 16:40:34
40,0.0616405,0.3310125,0.4142456,0.0000036271,2025-10-13 16:40:55
41,0.0636914,0.3735265,0.4143127,0.0000033156,2025-10-13 16:41:15
42,0.0606002,0.3722132,0.4146235,0.0000030113,2025-10-13 16:41:36
43,0.0578479,0.3297556,0.4150476,0.0000027155,2025-10-13 16:41:57
44,0.0591945,0.3478045,0.4158203,0.0000024295,2025-10-13 16:42:18
45,0.0578699,0.3320746,0.4165603,0.0000021545,2025-10-13 16:42:39
46,0.0586677,0.3564852,0.4170777,0.0000018917,2025-10-13 16:43:00
47,0.0584776,0.3533905,0.4175904,0.0000016422,2025-10-13 16:43:21
48,0.0556820,0.3421912,0.4177241,0.0000014071,2025-10-13 16:43:42
49,0.0574700,0.3828892,0.4181800,0.0000011874,2025-10-13 16:44:03
50,0.0537088,0.3660810,0.4183968,0.0000009840,2025-10-13 16:44:25
51,0.0567471,0.3456998,0.4185684,0.0000007978,2025-10-13 16:44:46
52,0.0557529,0.3963677,0.4187127,0.0000006296,2025-10-13 16:45:07
53,0.0550922,0.3278992,0.4189194,0.0000004801,2025-10-13 16:45:28
54,0.0559910,0.3454287,0.4191156,0.0000003500,2025-10-13 16:45:49
55,0.0552840,0.3906672,0.4192190,0.0000002397,2025-10-13 16:46:08
