Epoch,Train_Loss,Vali_Loss,Test_Loss,Learning_Rate,Time
1,1.2952173,1.2049944,1.0341118,0.0000046060,2025-10-13 08:53:15
2,1.2457705,1.1102879,1.0167021,0.0000064086,2025-10-13 08:53:17
3,1.1363057,1.0229143,0.9932419,0.0000093624,2025-10-13 08:53:19
4,1.1445709,1.0050788,0.9638043,0.0000133928,2025-10-13 08:53:21
5,1.0610469,0.7422569,0.9294149,0.0000183980,2025-10-13 08:53:22
6,0.9555088,0.6942719,0.8882889,0.0000242516,2025-10-13 08:53:24
7,0.8849613,0.6012889,0.8407178,0.0000308058,2025-10-13 08:53:26
8,0.7739681,0.4720103,0.7815425,0.0000378952,2025-10-13 08:53:28
9,0.6074291,0.6575414,0.6942809,0.0000453407,2025-10-13 08:53:30
10,0.4725251,1.4367100,0.5692953,0.0000529543,2025-10-13 08:53:31
11,0.4048927,1.5892035,0.4630403,0.0000605439,2025-10-13 08:53:33
12,0.3178183,0.8088157,0.4057067,0.0000679177,2025-10-13 08:53:35
13,0.2695062,0.3461187,0.4009851,0.0000748896,2025-10-13 08:53:36
14,0.2531260,0.4326626,0.4456261,0.0000812836,2025-10-13 08:53:38
15,0.2221424,0.5255766,0.4449676,0.0000869382,2025-10-13 08:53:40
16,0.1982719,0.4048950,0.4243433,0.0000917106,2025-10-13 08:53:41
17,0.1859649,0.4252554,0.4128857,0.0000954803,2025-10-13 08:53:43
18,0.1655358,0.4268295,0.4026502,0.0000981522,2025-10-13 08:53:45
19,0.1506187,0.3908511,0.3971231,0.0000996588,2025-10-13 08:53:46
20,0.1284935,0.3749962,0.3975770,0.0000999976,2025-10-13 08:53:48
21,0.1299196,0.5011064,0.4070287,0.0000999398,2025-10-13 08:53:50
22,0.1113249,0.4358586,0.4129287,0.0000998050,2025-10-13 08:53:51
23,0.1092183,0.4974954,0.4135727,0.0000995933,2025-10-13 08:53:53
24,0.1008851,0.4214940,0.4133648,0.0000993053,2025-10-13 08:53:55
25,0.0931747,0.4686395,0.4181602,0.0000989411,2025-10-13 08:53:57
26,0.0862838,0.3687775,0.4223643,0.0000985016,2025-10-13 08:53:58
27,0.0830838,0.5402828,0.4248922,0.0000979872,2025-10-13 08:54:00
28,0.0779032,0.4874430,0.4272010,0.0000973989,2025-10-13 08:54:02
29,0.0705752,0.5211126,0.4249377,0.0000967374,2025-10-13 08:54:03
30,0.0710737,0.4527360,0.4243658,0.0000960039,2025-10-13 08:54:05
31,0.0656790,0.5088168,0.4303007,0.0000951995,2025-10-13 08:54:07
32,0.0647746,0.3956232,0.4265640,0.0000943254,2025-10-13 08:54:08
33,0.0600244,0.5150131,0.4209143,0.0000933829,2025-10-13 08:54:10
