Epoch,Train_Loss,Vali_Loss,Test_Loss,Learning_Rate,Time
1,1.8165128,1.9317914,1.4510340,0.0000051762,2025-10-13 09:22:22
2,1.8105241,1.8296093,1.4266616,0.0000109014,2025-10-13 09:22:24
3,1.7271568,1.4431220,1.3839808,0.0000197863,2025-10-13 09:22:26
4,1.5854244,1.4764973,1.3270752,0.0000309164,2025-10-13 09:22:28
5,1.4064695,1.0640877,1.2554300,0.0000431462,2025-10-13 09:22:30
6,1.1644767,0.7975352,1.1611292,0.0000552168,2025-10-13 09:22:32
7,0.9502331,0.6291242,0.9887263,0.0000658859,2025-10-13 09:22:34
8,0.6025016,2.5351088,0.7055963,0.0000740553,2025-10-13 09:22:36
9,0.5046424,0.9987688,0.5466446,0.0000788842,2025-10-13 09:22:37
10,0.3642722,0.4359856,0.4732508,0.0000799923,2025-10-13 09:22:39
11,0.3094036,0.5327837,0.4489492,0.0000798074,2025-10-13 09:22:41
12,0.2779791,0.4816097,0.4623474,0.0000793771,2025-10-13 09:22:43
13,0.2535508,0.4117550,0.4643928,0.0000787040,2025-10-13 09:22:45
14,0.2361296,0.4990923,0.4451180,0.0000777923,2025-10-13 09:22:47
15,0.2234884,0.4735566,0.4323962,0.0000766475,2025-10-13 09:22:48
16,0.2107021,0.4555134,0.4304529,0.0000752769,2025-10-13 09:22:50
17,0.1970336,0.4404890,0.4262447,0.0000736887,2025-10-13 09:22:52
18,0.1901114,0.4609059,0.4254260,0.0000718929,2025-10-13 09:22:54
19,0.1786837,0.4406644,0.4266547,0.0000699004,2025-10-13 09:22:55
20,0.1730445,0.4255391,0.4288022,0.0000677235,2025-10-13 09:22:57
21,0.1577486,0.4401350,0.4328528,0.0000653758,2025-10-13 09:22:59
22,0.1556129,0.4483105,0.4333925,0.0000628716,2025-10-13 09:23:01
23,0.1499279,0.4602089,0.4343550,0.0000602264,2025-10-13 09:23:02
24,0.1436066,0.4808875,0.4335829,0.0000574565,2025-10-13 09:23:04
25,0.1376458,0.4332220,0.4356420,0.0000545789,2025-10-13 09:23:06
26,0.1258396,0.4538153,0.4383718,0.0000516115,2025-10-13 09:23:08
27,0.1243752,0.4120553,0.4403832,0.0000485725,2025-10-13 09:23:09
28,0.1239065,0.4841568,0.4414961,0.0000454806,2025-10-13 09:23:11
