Epoch,Train_Loss,Vali_Loss,Test_Loss,Learning_Rate,Time
1,1.4068848,nan,1.1329392,0.0000040391,2025-10-13 10:00:47
2,1.5315268,nan,1.1181713,0.0000065199,2025-10-13 10:00:49
3,1.4847939,nan,1.0979950,0.0000105337,2025-10-13 10:00:51
4,1.4987024,nan,1.0737608,0.0000159054,2025-10-13 10:00:54
5,1.3706689,nan,1.0523384,0.0000224000,2025-10-13 10:00:56
6,1.2763784,nan,1.0429626,0.0000297337,2025-10-13 10:00:58
7,1.4089971,nan,1.0450632,0.0000375861,2025-10-13 10:01:01
8,1.2605931,nan,1.0441987,0.0000456139,2025-10-13 10:01:03
9,1.3764384,nan,1.0171573,0.0000534663,2025-10-13 10:01:05
10,1.2836369,nan,0.9658943,0.0000608000,2025-10-13 10:01:07
11,1.2457212,nan,0.9091814,0.0000672946,2025-10-13 10:01:09
12,1.1325808,nan,0.8522919,0.0000726663,2025-10-13 10:01:11
13,0.9916184,nan,0.7656678,0.0000766801,2025-10-13 10:01:13
14,0.8853863,nan,0.6171219,0.0000791609,2025-10-13 10:01:15
15,0.6483076,nan,0.4437946,0.0000800000,2025-10-13 10:01:17
16,0.4635056,nan,0.3427892,0.0000799518,2025-10-13 10:01:19
17,0.4632715,nan,0.3195226,0.0000798074,2025-10-13 10:01:21
18,0.5177638,nan,0.3184534,0.0000795671,2025-10-13 10:01:23
19,0.3796244,nan,0.3435095,0.0000792314,2025-10-13 10:01:25
20,0.3009043,nan,0.3682064,0.0000788013,2025-10-13 10:01:27
21,0.2796784,nan,0.3784082,0.0000782776,2025-10-13 10:01:29
22,0.2547392,nan,0.3731402,0.0000776618,2025-10-13 10:01:31
23,0.2845023,nan,0.3598113,0.0000769552,2025-10-13 10:01:33
24,0.2552285,nan,0.3479897,0.0000761596,2025-10-13 10:01:35
25,0.2364437,nan,0.3402130,0.0000752769,2025-10-13 10:01:37
26,0.1952511,nan,0.3409553,0.0000743092,2025-10-13 10:01:39
27,0.1679245,nan,0.3505524,0.0000732588,2025-10-13 10:01:41
28,0.1575634,nan,0.3656838,0.0000721283,2025-10-13 10:01:43
29,0.1561125,nan,0.3764203,0.0000709205,2025-10-13 10:01:45
30,0.1489891,nan,0.3792019,0.0000696381,2025-10-13 10:01:47
31,0.1329534,nan,0.3778782,0.0000682843,2025-10-13 10:01:49
32,0.1209399,nan,0.3779367,0.0000668624,2025-10-13 10:01:51
33,0.1074399,nan,0.3796989,0.0000653758,2025-10-13 10:01:53
34,0.1057085,nan,0.3818694,0.0000638280,2025-10-13 10:01:55
35,0.1039460,nan,0.3834788,0.0000622229,2025-10-13 10:01:58
36,0.0991352,nan,0.3844030,0.0000605642,2025-10-13 10:02:00
37,0.0914044,nan,0.3857569,0.0000588560,2025-10-13 10:02:02
38,0.0788609,nan,0.3872207,0.0000571023,2025-10-13 10:02:04
39,0.0764727,nan,0.3879038,0.0000553074,2025-10-13 10:02:06
40,0.0724470,nan,0.3881050,0.0000534757,2025-10-13 10:02:08
41,0.0622798,nan,0.3882894,0.0000516115,2025-10-13 10:02:10
42,0.0614468,nan,0.3884287,0.0000497193,2025-10-13 10:02:12
43,0.0607965,nan,0.3883990,0.0000478037,2025-10-13 10:02:14
44,0.0582342,nan,0.3885149,0.0000458694,2025-10-13 10:02:16
45,0.0559305,nan,0.3885760,0.0000439208,2025-10-13 10:02:18
46,0.0524492,nan,0.3886183,0.0000419629,2025-10-13 10:02:20
47,0.0507277,nan,0.3887541,0.0000400002,2025-10-13 10:02:22
48,0.0491110,nan,0.3888793,0.0000380375,2025-10-13 10:02:24
49,0.0475016,nan,0.3887064,0.0000360795,2025-10-13 10:02:26
50,0.0470312,nan,0.3883245,0.0000341310,2025-10-13 10:02:28
51,0.0456661,nan,0.3877927,0.0000321966,2025-10-13 10:02:31
52,0.0447447,nan,0.3875146,0.0000302810,2025-10-13 10:02:33
53,0.0439418,nan,0.3873067,0.0000283888,2025-10-13 10:02:35
54,0.0428229,nan,0.3871554,0.0000265246,2025-10-13 10:02:37
55,0.0414712,nan,0.3871365,0.0000246929,2025-10-13 10:02:39
56,0.0404836,nan,0.3873750,0.0000228980,2025-10-13 10:02:41
57,0.0413039,nan,0.3877242,0.0000211444,2025-10-13 10:02:43
58,0.0389241,nan,0.3881969,0.0000194361,2025-10-13 10:02:45
59,0.0392051,nan,0.3887330,0.0000177774,2025-10-13 10:02:47
60,0.0387481,nan,0.3893297,0.0000161723,2025-10-13 10:02:49
61,0.0390901,nan,0.3898987,0.0000146245,2025-10-13 10:02:51
62,0.0381553,nan,0.3904461,0.0000131379,2025-10-13 10:02:53
63,0.0355244,nan,0.3909497,0.0000117160,2025-10-13 10:02:55
64,0.0357752,nan,0.3913861,0.0000103622,2025-10-13 10:02:57
