Epoch,Train_Loss,Vali_Loss,Test_Loss,Learning_Rate,Time
1,3.3971114,7.4893546,2.6452849,0.0000005705,2025-10-13 10:35:45
2,3.2483208,6.6935081,2.5446509,0.0000010701,2025-10-13 10:36:01
3,3.0808463,5.6655607,2.3770386,0.0000018631,2025-10-13 10:36:18
4,2.7603767,4.5996504,2.1319167,0.0000028932,2025-10-13 10:36:35
5,2.3797032,3.5083067,1.8197309,0.0000040873,2025-10-13 10:36:51
6,1.9504232,2.4155457,1.4782095,0.0000053604,2025-10-13 10:37:07
7,1.4773628,1.5413454,1.1808362,0.0000066221,2025-10-13 10:37:23
8,1.2139570,0.9243444,1.0308131,0.0000077828,2025-10-13 10:37:39
9,1.1808403,0.8241507,1.0197007,0.0000087599,2025-10-13 10:37:55
10,1.1263613,0.7909949,0.9671245,0.0000094841,2025-10-13 10:38:12
11,0.9370756,0.6618069,0.8896472,0.0000099038,2025-10-13 10:38:28
12,0.7517586,0.6007665,0.7416271,0.0000099993,2025-10-13 10:38:44
13,0.5397305,1.1344373,0.5640497,0.0000099833,2025-10-13 10:39:01
14,0.3772000,1.6576564,0.4520814,0.0000099459,2025-10-13 10:39:16
15,0.3121964,0.8811568,0.4160659,0.0000098873,2025-10-13 10:39:33
16,0.2490761,0.7724707,0.4073970,0.0000098078,2025-10-13 10:39:48
17,0.2281819,0.6731218,0.3884983,0.0000097077,2025-10-13 10:40:04
18,0.1989430,0.5978700,0.3871960,0.0000095875,2025-10-13 10:40:20
19,0.1829421,0.5257930,0.3930734,0.0000094476,2025-10-13 10:40:36
20,0.1649050,0.3910854,0.3942794,0.0000092886,2025-10-13 10:40:52
21,0.1562386,0.3797088,0.3944271,0.0000091113,2025-10-13 10:41:09
22,0.1442376,0.3934053,0.3936653,0.0000089164,2025-10-13 10:41:26
23,0.1349638,0.4584699,0.3944504,0.0000087048,2025-10-13 10:41:42
24,0.1242567,0.4984747,0.3965542,0.0000084772,2025-10-13 10:41:58
25,0.1173419,0.4974087,0.3950609,0.0000082348,2025-10-13 10:42:14
26,0.1098769,0.4940880,0.3956993,0.0000079785,2025-10-13 10:42:29
27,0.1053318,0.4605248,0.3967150,0.0000077095,2025-10-13 10:42:46
28,0.0987060,0.3763415,0.3965997,0.0000074288,2025-10-13 10:43:01
29,0.0949353,0.4755130,0.3971463,0.0000071378,2025-10-13 10:43:17
30,0.0883246,0.5158746,0.3977349,0.0000068376,2025-10-13 10:43:33
31,0.0840456,0.4324139,0.3989650,0.0000065295,2025-10-13 10:43:49
32,0.0792391,0.5152941,0.3998409,0.0000062149,2025-10-13 10:44:06
33,0.0766266,0.4501446,0.4014436,0.0000058951,2025-10-13 10:44:21
34,0.0722334,0.3946186,0.4025824,0.0000055715,2025-10-13 10:44:37
35,0.0676758,0.4514672,0.4044458,0.0000052454,2025-10-13 10:44:53
36,0.0652200,0.5346786,0.4058333,0.0000049182,2025-10-13 10:45:09
37,0.0631954,0.5486559,0.4078863,0.0000045914,2025-10-13 10:45:25
38,0.0592606,0.5280052,0.4080722,0.0000042664,2025-10-13 10:45:40
39,0.0551300,0.5285975,0.4095644,0.0000039445,2025-10-13 10:45:56
40,0.0563535,0.5653242,0.4106023,0.0000036271,2025-10-13 10:46:12
41,0.0535766,0.4875498,0.4110988,0.0000033156,2025-10-13 10:46:28
42,0.0528575,0.5674771,0.4122086,0.0000030113,2025-10-13 10:46:43
43,0.0511881,0.5698993,0.4126696,0.0000027155,2025-10-13 10:46:59
44,0.0502547,0.5516529,0.4126159,0.0000024295,2025-10-13 10:47:15
45,0.0488043,0.5200523,0.4129440,0.0000021545,2025-10-13 10:47:31
46,0.0485041,0.5255996,0.4135886,0.0000018917,2025-10-13 10:47:47
47,0.0458522,0.5772575,0.4139438,0.0000016422,2025-10-13 10:48:02
48,0.0475656,0.5084162,0.4139255,0.0000014071,2025-10-13 10:48:18
