Epoch,Train_Loss,Vali_Loss,Test_Loss,Learning_Rate,Time
1,1.6265683,1.4505664,1.2356322,0.0000064086,2025-10-11 10:28:13
2,1.5255054,1.1873479,1.2472708,0.0000133928,2025-10-11 10:28:30
3,1.3321935,1.2278561,1.1680934,0.0000242516,2025-10-11 10:28:47
4,0.9851015,1.2857081,0.6626132,0.0000378952,2025-10-11 10:29:04
5,0.5259035,0.9840447,0.4722862,0.0000529543,2025-10-11 10:29:20
6,0.3204685,0.6084299,0.4213977,0.0000679177,2025-10-11 10:29:36
7,0.2068157,0.4646244,0.3997101,0.0000812836,2025-10-11 10:29:53
8,0.1659119,0.4686501,0.4051546,0.0000917106,2025-10-11 10:30:10
9,0.1296700,0.5133541,0.3900565,0.0000981522,2025-10-11 10:30:26
10,0.0919677,0.5832673,0.3994296,0.0000999976,2025-10-11 10:30:42
11,0.0754836,0.4097338,0.4182290,0.0000998050,2025-10-11 10:30:59
12,0.0598083,0.5821834,0.4186922,0.0000993053,2025-10-11 10:31:15
13,0.0463818,0.5921772,0.4157420,0.0000985016,2025-10-11 10:31:32
14,0.0382683,0.4782903,0.4184387,0.0000973989,2025-10-11 10:31:49
15,0.0330530,0.5174100,0.4229063,0.0000960039,2025-10-11 10:32:05
16,0.0286427,0.5240358,0.4199556,0.0000943254,2025-10-11 10:32:22
17,0.0267929,0.5625781,0.4168679,0.0000923735,2025-10-11 10:32:38
18,0.0197284,0.5270346,0.4182131,0.0000901604,2025-10-11 10:32:54
19,0.0177050,0.6557395,0.4113251,0.0000876997,2025-10-11 10:33:10
20,0.0153386,0.6347710,0.4174949,0.0000850066,2025-10-11 10:33:27
21,0.0134417,0.5721519,0.4156436,0.0000820977,2025-10-11 10:33:43
22,0.0122284,0.5061979,0.4205015,0.0000789908,2025-10-11 10:33:59
23,0.0115495,0.5908490,0.4113220,0.0000757052,2025-10-11 10:34:16
24,0.0099292,0.6437769,0.4244020,0.0000722612,2025-10-11 10:34:32
25,0.0094721,0.6379117,0.4136533,0.0000686799,2025-10-11 10:34:49
26,0.0088927,0.5961496,0.4164617,0.0000649834,2025-10-11 10:35:05
27,0.0079010,0.5121788,0.4151031,0.0000611946,2025-10-11 10:35:21
28,0.0078836,0.5976551,0.4184314,0.0000573367,2025-10-11 10:35:38
29,0.0075456,0.5610553,0.4160249,0.0000534336,2025-10-11 10:35:55
30,0.0068202,0.6516551,0.4159212,0.0000495093,2025-10-11 10:36:12
31,0.0063114,0.6206863,0.4146588,0.0000455881,2025-10-11 10:36:28
