Epoch,Train_Loss,Vali_Loss,Test_Loss,Learning_Rate,Time
1,1.5240528,1.0550450,1.1389764,0.0000046060,2025-10-11 11:16:22
2,1.2863224,1.0605578,1.0851436,0.0000064086,2025-10-11 11:16:38
3,1.2519325,1.0320823,1.0802549,0.0000093624,2025-10-11 11:16:54
4,1.2697223,1.2045507,1.1024931,0.0000133928,2025-10-11 11:17:10
5,1.2258726,0.9906579,1.0249934,0.0000183980,2025-10-11 11:17:25
6,1.0353747,0.6499697,0.8699930,0.0000242516,2025-10-11 11:17:41
7,0.7833308,0.8088422,0.6743788,0.0000308058,2025-10-11 11:17:57
8,0.5541272,1.4489303,0.4854038,0.0000378952,2025-10-11 11:18:13
9,0.4366418,1.7314616,0.4559184,0.0000453407,2025-10-11 11:18:29
10,0.3543350,0.6425326,0.4519666,0.0000529543,2025-10-11 11:18:45
11,0.2573024,0.5061409,0.4134522,0.0000605439,2025-10-11 11:19:01
12,0.2261415,0.3932209,0.4233814,0.0000679177,2025-10-11 11:19:17
13,0.1820399,0.3720717,0.4236481,0.0000748896,2025-10-11 11:19:33
14,0.1496340,0.3685327,0.3965717,0.0000812836,2025-10-11 11:19:49
15,0.1303343,0.4114524,0.3945246,0.0000869382,2025-10-11 11:20:05
16,0.1102377,0.4390886,0.3995650,0.0000917106,2025-10-11 11:20:21
17,0.0918715,0.3277366,0.3904381,0.0000954803,2025-10-11 11:20:37
18,0.0760454,0.3947250,0.3955470,0.0000981522,2025-10-11 11:20:52
19,0.0590286,0.4019565,0.4094813,0.0000996588,2025-10-11 11:21:08
20,0.0524626,0.4828185,0.3982581,0.0000999976,2025-10-11 11:21:24
21,0.0417251,0.6583623,0.4124388,0.0000999398,2025-10-11 11:21:40
22,0.0430691,0.4256127,0.4150235,0.0000998050,2025-10-11 11:21:55
23,0.0389317,0.3294218,0.4454620,0.0000995933,2025-10-11 11:22:11
24,0.0439903,0.5304848,0.4359176,0.0000993053,2025-10-11 11:22:27
25,0.0333040,0.4866434,0.4113268,0.0000989411,2025-10-11 11:22:43
26,0.0271456,0.5106426,0.4084936,0.0000985016,2025-10-11 11:23:00
27,0.0231455,0.3539800,0.4101555,0.0000979872,2025-10-11 11:23:15
28,0.0214695,0.5525342,0.4119521,0.0000973989,2025-10-11 11:23:31
29,0.0210165,0.5509862,0.4137068,0.0000967374,2025-10-11 11:23:46
30,0.0169828,0.5800879,0.4049587,0.0000960039,2025-10-11 11:24:03
31,0.0145817,0.5917219,0.4059313,0.0000951995,2025-10-11 11:24:18
32,0.0132184,0.4996032,0.4067924,0.0000943254,2025-10-11 11:24:33
33,0.0118300,0.4766696,0.4103869,0.0000933829,2025-10-11 11:24:49
34,0.0112153,0.5402842,0.4087903,0.0000923735,2025-10-11 11:25:05
35,0.0104727,0.4606794,0.4126634,0.0000912988,2025-10-11 11:25:21
36,0.0102927,0.4283310,0.4156453,0.0000901604,2025-10-11 11:25:37
37,0.0100837,0.5420857,0.4095321,0.0000889601,2025-10-11 11:25:54
